Entity ID,Common Name,Scientific Name,Where Listed,Species Group,FWS Lead Region,FWS Listing Status,Critical Habitat Type,Federal Register Publication,Critical Habitat Shapefile,tsn,Acres and Miles
37,"Kangaroo rat, Fresno",Dipodomys nitratoides exilis,Wherever found,Mammals,Region 8,Endangered,Final,Federal Register (1985-01-30),Download,202362,911.7 acres
43,"Squirrel, Mount Graham red",Tamiasciurus hudsonicus grahamensis,Wherever found,Mammals,Region 2,Endangered,Final,Federal Register (1990-01-05),Download,202353,1854.0 acres
66,"Condor, California",Gymnogyps californianus,"U.S.A. only, except where listed as an experimental population",Birds,Region 8,Endangered,Final,Federal Register (1977-09-22),Download,175274,604322.1 acres
67,"Crane, whooping",Grus americana,"Wherever found, except where listed as an experimental population",Birds,Region 2,Endangered,Final,Federal Register (1978-05-15),Download,176176,371927.9 acres
79,Palila (honeycreeper),Loxioides bailleui,Wherever found,Birds,Region 1,Endangered,Final,Federal Register (1977-09-22),Download,179578,96598.8 acres
110,"Crane, Mississippi sandhill",Grus canadensis pulla,Wherever found,Birds,Region 4,Endangered,Final,Federal Register (1977-08-08),Download,202247,26484.7 acres
117,"Blackbird, yellow-shouldered",Agelaius xanthomus,Wherever found,Birds,Region 4,Endangered,Final,Federal Register (1977-09-22),Download,179062,65518.4 acres
123,"Vireo, least Bell's",Vireo bellii pusillus,Wherever found,Birds,Region 8,Endangered,Final,Federal Register (1994-02-02),Download,179007,37066.0 acres
137,"Towhee, Inyo California",Pipilo crissalis eremophilus,Wherever found,Birds,Region 8,Threatened,Final,Federal Register (1987-08-03),Download,202309,1921.6 acres
155,"Sea turtle, Kemp's ridley",Lepidochelys kempii,Wherever found,Reptiles,Region 2,Endangered,Proposed,Federal Register (1978-11-29),,551770,
162,"Anole, Culebra Island giant",Anolis roosevelti,Wherever found,Reptiles,Region 4,Endangered,Final,Federal Register (1977-09-22),Download,202133,999.3 acres
163,"Lizard, St. Croix ground",Ameiva polops,Wherever found,Reptiles,Region 4,Endangered,Final,Federal Register (1977-09-22),Download,174030,21.0 acres
164,"Boa, Mona",Epicrates monensis monensis,Wherever found,Reptiles,Region 4,Threatened,Final,Federal Register (1978-02-03),Download,202182,13973.2 acres
165,"Iguana, Mona ground",Cyclura stejnegeri,Wherever found,Reptiles,Region 4,Threatened,Final,Federal Register (1978-02-03),Download,202150,13973.2 acres
166,"Rattlesnake, New Mexican ridge-nosed",Crotalus willardi obscurus,Wherever found,Reptiles,Region 2,Threatened,Final,Federal Register (1978-08-04),Download,202178,2918.6 acres
170,"Turtle, Plymouth Redbelly",Pseudemys rubriventris bangsi,Wherever found,Reptiles,Region 5,Endangered,Final,Federal Register (1980-04-02),Download,202090,3849.8 acres
175,"Lizard, Coachella Valley fringe-toed",Uma inornata,Wherever found,Reptiles,Region 8,Threatened,Final,Federal Register (1980-09-25),Download,173948,11800.1 acres
176,"Crocodile, American",Crocodylus acutus,U.S.A. (FL),Reptiles,Region 4,Threatened,Final,Federal Register (1977-09-22),Download,174361,781696.5 acres
177,"Gecko, Monito",Sphaerodactylus micropithecus,Wherever found,Reptiles,Region 4,Endangered,Final,Federal Register (1982-10-15),Download,174080,21.5 acres
185,"Tortoise, desert",Gopherus agassizii,"Wherever found, except AZ south and east of Colorado R., and Mexico",Reptiles,Region 8,Threatened,Final,Federal Register (1994-02-08),Download,173856,6454134.0 acres
188,"Salamander, Santa Cruz long-toed",Ambystoma macrodactylum croceum,Wherever found,Amphibians,Region 8,Endangered,Proposed,Federal Register (1978-06-22),,195693,
190,"Toad, Houston",Bufo houstonensis,Wherever found,Amphibians,Region 2,Endangered,Final,Federal Register (1978-01-31),Download,173488,84166.4 acres
193,"Coqui, golden",Eleutherodactylus jasperi,Wherever found,Amphibians,Region 4,Threatened,Final,Federal Register (1977-11-11),Download,173563,329.0 acres
194,"Salamander, San Marcos",Eurycea nana,Wherever found,Amphibians,Region 2,Threatened,Final,Federal Register (1980-07-14),Download,173693,18.5 acres
4300,"Salmon, Chinook",Oncorhynchus (=Salmo) tshawytscha,Snake River fall-run ESU,Fishes,NOAA,Threatened,Final,Federal Register (1999-03-23),,161980,
209,"Chub, humpback",Gila cypha,Wherever found,Fishes,Region 6,Endangered,Final,Federal Register (1994-03-21),Download,163551,13754.3 acres
212,"Darter, Maryland",Etheostoma sellare,Wherever found,Fishes,Region 5,Endangered,Final,Federal Register (1984-08-29),Download,168361,3.2 miles
215,"Pikeminnow (=squawfish), Colorado",Ptychocheilus lucius,"Wherever found, except where listed as an experimental population",Fishes,Region 6,Endangered,Final,Federal Register (1994-03-21),Download,163525,65546.2 acres
228,"Darter, fountain",Etheostoma fonticola,Wherever found,Fishes,Region 2,Endangered,Final,Federal Register (1980-07-14),Download,168395,126.4 acres
235,"Darter, snail",Percina tanasi,Wherever found,Fishes,Region 4,Threatened,Final,Federal Register (1977-09-22),,168499,
236,"Cavefish, Alabama",Speoplatyrhinus poulsoni,Wherever found,Fishes,Region 4,Endangered,Final,Federal Register (1977-09-09),Download,164397,0.1 acres
237,"Chub, spotfin",Erimonax monachus,"Wherever found, except where listed as an experimental population",Fishes,Region 4,Threatened,Final,Federal Register (1977-09-22),Download,689041,269.2 miles
238,"Darter, leopard",Percina pantherina,Wherever found,Fishes,Region 2,Threatened,Final,Federal Register (1978-01-27),Download,168493,2618.3 acres
239,"Darter, slackwater",Etheostoma boschungi,Wherever found,Fishes,Region 4,Threatened,Final,Federal Register (1977-09-22),Download,168377,122.4 miles
241,"Sculpin, pygmy",Cottus paulus (=pygmaeus),Wherever found,Fishes,Region 4,Threatened,Proposed,Federal Register (1979-07-27),,643940,
242,"Shiner, Cape Fear",Notropis mekistocholas,Wherever found,Fishes,Region 4,Endangered,Final,Federal Register (1987-09-25),Download,163455,262.5 acres
243,"Silverside, Waccamaw",Menidia extensa,Wherever found,Fishes,Region 4,Threatened,Final,Federal Register (1987-04-08),Download,165997,8681.0 acres
246,"Chub, slender",Erimystax cahni,Wherever found,Fishes,Region 4,Threatened,Final,Federal Register (1977-09-22),Download,163820,221.1 miles
247,"Madtom, yellowfin",Noturus flavipinnis,"Wherever found, except where listed as an experimental population",Fishes,Region 4,Threatened,Final,Federal Register (1977-09-22),Download,164012,167.1 miles
248,"Trout, Little Kern golden",Oncorhynchus aguabonita whitei,Wherever found,Fishes,Region 8,Threatened,Final,Federal Register (1978-04-13),Download,-1152,82421.9 acres
249,"Chub, bonytail",Gila elegans,Wherever found,Fishes,Region 6,Endangered,Final,Federal Register (1994-03-21),Download,163553,58213.7 acres
250,"Gambusia, San Marcos",Gambusia georgei,Wherever found,Fishes,Region 2,Endangered,Final,Federal Register (1980-07-14),Download,165886,44.5 acres
251,"Pupfish, Leon Springs",Cyprinodon bovinus,Wherever found,Fishes,Region 2,Endangered,Final,Federal Register (1980-08-15),Download,165632,27.8 acres
253,"Chub, Borax Lake",Gila boraxobius,Wherever found,Fishes,Region 1,Endangered,Final,Federal Register (1982-10-05),Download,163547,631.4 acres
254,"Chub, Chihuahua",Gila nigrescens,Wherever found,Fishes,Region 2,Threatened,Proposed,Federal Register (1980-12-15),,163554,
255,"Chub, Sonora",Gila ditaenia,Wherever found,Fishes,Region 2,Threatened,Final,Federal Register (1986-04-30),Download,163552,70.9 acres
257,"Darter, Niangua",Etheostoma nianguae,Wherever found,Fishes,Region 3,Threatened,Final,Federal Register (1985-06-12),Download,168414,1290.5 acres
258,"Madtom, smoky",Noturus baileyi,Wherever found,Fishes,Region 4,Endangered,Final,Federal Register (1984-10-26),Download,164007,5.7 miles
259,"Catfish, Yaqui",Ictalurus pricei,Wherever found,Fishes,Region 2,Threatened,Final,Federal Register (1984-08-31),Download,164000,19.5 acres
262,"Chub, Owens Tui",Gila bicolor ssp. snyderi,Wherever found,Fishes,Region 8,Endangered,Final,Federal Register (1985-08-05),Download,201920,114.3 acres
263,"Chub, Yaqui",Gila purpurea,Wherever found,Fishes,Region 2,Endangered,Final,Federal Register (1984-08-31),Download,163557,19.5 acres
264,"Dace, Ash Meadows speckled",Rhinichthys osculus nevadensis,Wherever found,Fishes,Region 8,Endangered,Final,Federal Register (1983-09-02),Download,201906,64.7 acres
266,"Dace, desert",Eremichthys acros,Wherever found,Fishes,Region 8,Threatened,Final,Federal Register (1985-12-10),Download,163540,2494.6 acres
274,"Pupfish, Ash Meadows Amargosa",Cyprinodon nevadensis mionectes,Wherever found,Fishes,Region 8,Endangered,Final,Federal Register (1983-09-02),Download,201970,134.5 acres
275,"Pupfish, desert",Cyprinodon macularius,Wherever found,Fishes,Region 2,Endangered,Final,Federal Register (1986-03-31),Download,165637,3.9 acres
276,"Shiner, beautiful",Cyprinella formosa,Wherever found,Fishes,Region 2,Threatened,Final,Federal Register (1984-08-31),Download,163780,19.5 acres
277,"Shiner, Cahaba",Notropis cahabae,Wherever found,Fishes,Region 4,Endangered,Proposed,Federal Register (1977-11-29),,163480,
279,"Shiner, Pecos bluntnose",Notropis simus pecosensis,Wherever found,Fishes,Region 2,Threatened,Final,Federal Register (1987-02-20),Download,201913,2379.6 acres
280,"Spinedace, Big Spring",Lepidomeda mollispinis pratensis,Wherever found,Fishes,Region 8,Threatened,Final,Federal Register (1985-03-28),Download,201925,36.2 acres
281,"Spinedace, Little Colorado",Lepidomeda vittata,Wherever found,Fishes,Region 2,Threatened,Final,Federal Register (1987-09-16),Download,163574,200.2 acres
282,"Spinedace, White River",Lepidomeda albivallis,Wherever found,Fishes,Region 8,Endangered,Final,Federal Register (1985-09-12),Download,163571,17.6 acres
283,"Springfish, Hiko White River",Crenichthys baileyi grandis,Wherever found,Fishes,Region 8,Endangered,Final,Federal Register (1985-09-27),Download,201976,22.4 acres
284,"Springfish, Railroad Valley",Crenichthys nevadae,Wherever found,Fishes,Region 8,Threatened,Final,Federal Register (1986-03-31),Download,165688,474.6 acres
285,"Springfish, White River",Crenichthys baileyi baileyi,Wherever found,Fishes,Region 8,Endangered,Final,Federal Register (1985-09-27),Download,201975,6.7 acres
287,"Sucker, June",Chasmistes liorus,Wherever found,Fishes,Region 6,Endangered,Final,Federal Register (1986-03-31),Download,163963,4.4 miles
290,"Sucker, razorback",Xyrauchen texanus,Wherever found,Fishes,Region 6,Endangered,Final,Federal Register (1994-03-21),Download,163968,285427.4 acres
292,"Sucker, Warner",Catostomus warnerensis,Wherever found,Fishes,Region 1,Threatened,Final,Federal Register (1985-09-27),Download,163915,912.4 acres
293,"Darter, amber",Percina antesella,Wherever found,Fishes,Region 4,Endangered,Final,Federal Register (1985-08-05),Download,168476,395.9 acres
294,"Logperch, Conasauga",Percina jenkinsi,Wherever found,Fishes,Region 4,Endangered,Final,Federal Register (1985-08-05),Download,168502,178.6 acres
298,"Darter, goldline",Percina aurolineata,Wherever found,Fishes,Region 4,Threatened,Proposed,Federal Register (1977-11-29),,168478,
305,"Smelt, delta",Hypomesus transpacificus,Wherever found,Fishes,Region 8,Threatened,Final,Federal Register (1994-12-19),Download,162032,818614.4 acres
400,"Ambersnail, Kanab",Oxyloma haydeni kanabensis,Wherever found,Snails,Region 6,Endangered,Proposed,Federal Register (1991-11-15),,198382,
419,"Butterfly, El Segundo blue",Euphilotes battoides allyni,Wherever found,Insects,Region 8,Endangered,Proposed,Federal Register (1977-02-08),,117240,
420,"Butterfly, Karner blue",Lycaeides melissa samuelis,Wherever found,Insects,Region 3,Endangered,Proposed,Federal Register (1978-07-03),,779691,
421,"Butterfly, Lange's metalmark",Apodemia mormo langei,Wherever found,Insects,Region 8,Endangered,Proposed,Federal Register (1977-02-08),,201270,
422,"Butterfly, lotis blue",Lycaeides argyrognomon lotis,Wherever found,Insects,Region 8,Endangered,Proposed,Federal Register (1977-02-08),,117257,
423,"Butterfly, mission blue",Icaricia icarioides missionensis,Wherever found,Insects,Region 8,Endangered,Proposed,Federal Register (1977-02-08),,117247,
427,"Butterfly, San Bruno elfin",Callophrys mossii bayensis,Wherever found,Insects,Region 8,Endangered,Proposed,Federal Register (1977-02-08),,201263,
428,"Butterfly, Smith's blue",Euphilotes enoptes smithi,Wherever found,Insects,Region 8,Endangered,Proposed,Federal Register (1977-02-08),,117243,
430,"Butterfly, callippe silverspot",Speyeria callippe callippe,Wherever found,Insects,Region 8,Endangered,Proposed,Federal Register (1980-03-28),,779159,
431,"Butterfly, Oregon silverspot",Speyeria zerene hippolyta,Wherever found,Insects,Region 1,Threatened,Final,Federal Register (1980-07-02),Download,201287,361.4 acres
432,"Butterfly, Palos Verdes blue",Glaucopsyche lygdamus palosverdesensis,Wherever found,Insects,Region 8,Endangered,Final,Federal Register (1980-07-02),Download,201264,74.7 acres
433,"Moth, Kern primrose sphinx",Euproserpinus euterpe,Wherever found,Insects,Region 8,Threatened,Proposed,Federal Register (1978-07-03),,201313,
434,"Skipper, Pawnee montane",Hesperia leonardus montana,Wherever found,Insects,Region 6,Threatened,Proposed,Federal Register (1978-07-03),,707301,
435,"Beetle, delta green ground",Elaphrus viridis,Wherever found,Insects,Region 8,Threatened,Final,Federal Register (1980-08-08),Download,109570,969.4 acres
436,"Beetle, valley elderberry longhorn",Desmocerus californicus dimorphus,Wherever found,Insects,Region 8,Threatened,Final,Federal Register (1980-08-08),Download,201258,478.8 acres
439,"Naucorid, Ash Meadows",Ambrysus amargosus,Wherever found,Insects,Region 8,Threatened,Final,Federal Register (1985-05-20),Download,103618,0.3 acres
482,"Shrimp, Kentucky cave",Palaemonias ganteri,Wherever found,Crustaceans,Region 4,Endangered,Final,Federal Register (1983-10-12),Download,97245,45.1 acres
607,"Reed-mustard, shrubby",Schoenocrambe suffrutescens,Wherever found,Flowering Plants,Region 6,Endangered,Proposed,Federal Register (1985-09-05),,195792,
8277,Ko`oko`olau,Bidens campylotheca ssp. waihoiensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,523680,39538.0 acres
626,"Fiddleneck, large-flowered",Amsinckia grandiflora,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (1985-05-08),Download,31708,159.8 acres
641,"Milk-vetch, Ash meadows",Astragalus phoenix,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (1985-05-20),Download,25631,1212.1 acres
656,"Sedge, Navajo",Carex specuicola,Wherever found,Flowering Plants,Region 2,Threatened,Final,Federal Register (1985-05-08),Download,39811,0.1 acres
660,"Centaury, spring-loving",Centaurium namophilum,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (1985-05-20),Download,30033,1848.0 acres
709,"Wild-buckwheat, gypsum",Eriogonum gypsophilum,Wherever found,Flowering Plants,Region 2,Threatened,Final,Federal Register (1981-01-19),Download,21146,558.1 acres
712,"Wallflower, Contra Costa",Erysimum capitatum var. angustatum,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (1978-08-31),Download,528069,315.2 acres
743,"Ivesia, Ash Meadows",Ivesia kingii var. eremica,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (1985-05-20),Download,195880,907.3 acres
746,Koki`o,Kokia drynarioides,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (1984-12-04),Download,21976,2355.3 acres
776,"Blazingstar, Ash Meadows",Mentzelia leucophylla,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (1985-05-20),Download,202471,1247.7 acres
784,"Evening-primrose, Antioch Dunes",Oenothera deltoides ssp. howellii,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (1978-08-31),Download,27392,315.2 acres
963,Nehe,Melanthera tenuifolia,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,780449,10160.2 acres
827,"Ragwort, San Francisco Peaks",Packera franciscana,Wherever found,Flowering Plants,Region 2,Threatened,Final,Federal Register (1983-11-22),Download,565356,745.4 acres
840,"Wire-lettuce, Malheur",Stephanomeria malheurensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (1982-11-10),Download,196298,109.6 acres
